Wall time,Step,Value
1559699797.288069,0,0.10000000149011612
1559702341.0189154,1,0.10000000149011612
1559704884.9072063,2,0.10000000149011612
1559707428.1537523,3,0.10000000149011612
1559709970.5847633,4,0.10000000149011612
1559712513.3568232,5,0.10000000149011612
1559715055.5644317,6,0.10000000149011612
1559717598.1741922,7,0.10000000149011612
1559720141.4021325,8,0.019999999552965164
1559722683.76097,9,0.019999999552965164
1559725225.429107,10,0.019999999552965164
1559727805.2854955,11,0.019999999552965164
1559730349.2488227,12,0.019999999552965164
1559732889.6523473,13,0.019999999552965164
1559735566.3072405,14,0.019999999552965164
1559738110.8336492,15,0.004000000189989805
1559740670.5410988,16,0.004000000189989805
1559743250.537881,17,0.004000000189989805
1559745792.9884102,18,0.004000000189989805
1559748335.451559,19,0.004000000189989805
1559750891.8085337,20,0.004000000189989805
1559753448.523732,21,0.004000000189989805
1559756019.5171287,22,0.004000000189989805
1559758598.7729588,23,0.0007999999797903001
1559761149.1545148,24,0.0007999999797903001
1559763756.9506774,25,0.0007999999797903001
1559766300.1327524,26,0.0007999999797903001
1559768852.6911268,27,0.0007999999797903001
1559771395.821682,28,0.0007999999797903001
1559773945.0529425,29,0.0007999999797903001
